run_id,algorithm,scenario,axis,dimension,kpi,value,baseline,value_minus_baseline,lower_is_better,comparison_available,improved_vs_baseline,signed_relative_gain,source,note
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,pv_export_daily_average,107153.05721947478,,,True,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,pv_export_total,39106401.174390815,,,True,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,pv_generation_daily_average,135736.12476592427,,,False,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,pv_generation_total,49538029.867697105,,,False,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,pv_self_consumption_ratio,0.2105781905571617,,,False,True,,,citylearn_v2.evaluate_v2,CityLearn v2 PV self-consumption ratio for autoconsumption.
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,ramping_average,1.1827900919539245,1.0,0.18279009195392448,True,True,False,-0.18279009195392448,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,zero_net_energy,0.9783597732274801,1.0,-0.021640226772519866,True,True,True,0.021640226772519866,citylearn_v2.evaluate_v2,CityLearn v2 district net exchange ratio to baseline.
madrl_v3_20260627_164047,HAPPO,E2,OE2,Emisiones de CO₂,carbon_emissions,1.5592353506845364,1.0,0.5592353506845364,True,True,False,-0.5592353506845364,citylearn_v2.evaluate_v2,CityLearn v2 district CO2 ratio to baseline.
madrl_v3_20260627_164047,HAPPO,E2,OE2,Emisiones de CO₂,carbon_emissions_baseline,9144881.242106719,,,True,True,,,citylearn_v2.evaluate_v2,Total district greenhouse gas emissions for the CityLearn v2 baseline in kgCO2.
madrl_v3_20260627_164047,HAPPO,E2,OE2,Emisiones de CO₂,carbon_emissions_control,11999741.10905805,9144881.242106719,2854859.8669513315,True,True,False,-0.31218118544901446,citylearn_v2.evaluate_v2,Total district greenhouse gas emissions under control in kgCO2.
madrl_v3_20260627_164047,HAPPO,E2,OE2,Emisiones de CO₂,carbon_emissions_daily_average_baseline,25057.32958220816,,,True,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE2,Emisiones de CO₂,carbon_emissions_daily_average_control,32879.75643536856,25057.32958220816,7822.426853160399,True,True,False,-0.31218118544901435,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE2,Emisiones de CO₂,carbon_emissions_daily_average_delta,7822.426853160402,0.0,7822.426853160402,True,True,False,-1.0,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE2,Emisiones de CO₂,carbon_emissions_delta,1431341.146902246,0.0,1431341.146902246,True,True,False,-1.0,citylearn_v2.evaluate_v2,Control minus baseline total district greenhouse gas emissions in kgCO2.
