algorithm,scenario,metric,n,mean,median,std,min,p25,p75,iqr,max,cv_abs,sum
HAPPO,E1,carbon_emissions_min,0,,,,,,,,,,
HAPPO,E1,carbon_emissions_total,0,,,,,,,,,,
HAPPO,E1,electricity_cost_max,0,,,,,,,,,,
HAPPO,E1,electricity_cost_mean,0,,,,,,,,,,
HAPPO,E1,electricity_cost_min,0,,,,,,,,,,
HAPPO,E1,electricity_cost_total,0,,,,,,,,,,
HAPPO,E1,grid_export_max,0,,,,,,,,,,
HAPPO,E1,grid_export_mean,0,,,,,,,,,,
HAPPO,E1,grid_export_min,0,,,,,,,,,,
HAPPO,E1,grid_export_total,0,,,,,,,,,,
HAPPO,E1,grid_import_max,0,,,,,,,,,,
HAPPO,E1,grid_import_mean,0,,,,,,,,,,
HAPPO,E1,grid_import_min,0,,,,,,,,,,
HAPPO,E1,grid_import_total,0,,,,,,,,,,
HAPPO,E1,individual_reward_max,0,,,,,,,,,,
HAPPO,E1,individual_reward_mean,0,,,,,,,,,,
HAPPO,E1,individual_reward_min,0,,,,,,,,,,
HAPPO,E1,individual_reward_total,0,,,,,,,,,,
HAPPO,E1,net_electricity_consumption_max,0,,,,,,,,,,
HAPPO,E1,net_electricity_consumption_mean,0,,,,,,,,,,
HAPPO,E1,net_electricity_consumption_min,0,,,,,,,,,,
HAPPO,E1,net_electricity_consumption_total,0,,,,,,,,,,
HAPPO,E1,observation_l2_max,0,,,,,,,,,,
HAPPO,E1,observation_l2_mean,0,,,,,,,,,,
HAPPO,E1,observation_l2_min,0,,,,,,,,,,
HAPPO,E1,observation_l2_total,0,,,,,,,,,,
HAPPO,E1,observation_mean_max,0,,,,,,,,,,
HAPPO,E1,observation_mean_mean,0,,,,,,,,,,
HAPPO,E1,observation_mean_min,0,,,,,,,,,,
HAPPO,E1,observation_mean_total,0,,,,,,,,,,
HAPPO,E1,team_reward_max,0,,,,,,,,,,
HAPPO,E1,team_reward_mean,0,,,,,,,,,,
HAPPO,E1,team_reward_min,0,,,,,,,,,,
HAPPO,E1,team_reward_total,0,,,,,,,,,,
HAPPO,E2,action_dim,17,12.882352941176471,10.0,10.670533919052367,5.0,6.0,13.0,7.0,44.0,0.8283062859538367,219.0
HAPPO,E2,agent_index,17,8.0,8.0,5.049752469181039,0.0,4.0,12.0,8.0,16.0,0.6312190586476298,136.0
HAPPO,E2,battery_capacity_fade_ratio,17,0.0011468000474433354,0.0011067104826921,0.0005943777049620449,0.0002275463981483,0.000935170436472,0.0013486006002723,0.00041343016380029993,0.0024432604535691,0.518292361678171,0.0194956008065367
HAPPO,E2,battery_charge_total_kwh,17,525527.4689252292,252592.287889835,631715.1498061491,17237.529697686434,70424.50422705234,772389.0343409686,701964.5301139163,2172915.523718731,1.2020592398301981,8933966.971728895
HAPPO,E2,battery_discharge_total_kwh,17,458484.3051618979,221061.4428343428,551910.3159749331,15243.340459874067,61302.956473944825,666602.0968036652,605299.1403297203,1895657.33887162,1.2037714481416,7794233.187752265
HAPPO,E2,battery_equivalent_full_cycles,17,283.90561523569573,301.5097719423708,110.28266383682654,59.70748190728033,252.85782617247224,365.5642893909505,112.70646321847823,435.6224963933869,0.3884483360615144,4826.395459006828
HAPPO,E2,battery_throughput_total_kwh,17,984011.7740871273,473653.7307241778,1183621.680082581,32480.8701575605,131727.46070099715,1438991.1311446335,1307263.6704436364,4068572.862590351,1.2028531682770085,16728200.159481164
HAPPO,E2,carbon_emissions_baseline_kgco2,17,537934.19071216,244751.9461734575,901458.414825736,16483.88091811312,35476.86154603049,402611.51987152506,367134.65832549456,2863613.3828211427,1.6757782464660107,9144881.242106719
HAPPO,E2,carbon_emissions_control_kgco2,17,705867.1240622383,298585.6737441868,1085914.2752647398,27815.067612973973,66303.13213473745,643659.2937540412,577356.1616193037,3594573.472005248,1.538411746697232,11999741.10905805
