algorithm,scenario,episodes,kpi,value,gain,improved
MASAC,E1,50,grid_import,1.0526600476938446,-0.05266004769384458,False
MASAC,E1,50,grid_import_baseline,11107877.379131317,,
MASAC,E1,50,grid_import_control,11166713.320297377,,
MASAC,E1,50,grid_import_delta,29498.57696435126,-29498.57696435126,False
MASAC,E1,50,net_exchange_baseline,-29547215.87386322,,
MASAC,E1,50,net_exchange_control,-29499759.88996099,,
MASAC,E1,50,net_exchange_delta,23793.00757011609,-23793.00757011609,False
MASAC,E1,50,one_minus_load_factor_average,0.9786257116077314,0.021374288392268626,True
MASAC,E1,50,peak_average,1.0850627613699078,-0.08506276136990776,False
MASAC,E1,50,price_signal_deviation,0.38935242020988164,0.6106475797901183,True
MASAC,E1,50,price_signal_deviation_baseline,0.3845739346847668,,
MASAC,E1,50,price_signal_deviation_delta,0.0047784855251148395,-0.0047784855251148395,False
MASAC,E1,50,price_signal_deviation_ratio,1.0124254014485712,-0.012425401448571183,False
MASAC,E1,50,pv_export_daily_average,113456.12326822054,,
MASAC,E1,50,pv_export_total,41406757.654430985,,
MASAC,E1,50,pv_generation_daily_average,135736.12476592427,,
MASAC,E1,50,pv_generation_total,49538029.867697105,,
MASAC,E1,50,pv_self_consumption_ratio,0.16414201846505772,,
MASAC,E1,50,ramping_average,1.0219691691061643,-0.02196916910616431,False
MASAC,E1,50,zero_net_energy,0.9992642225192476,0.0007357774807523754,True
MASAC,E1,50,flex_composite,1.028552547361268,-0.028552547361268,False
MASAC,E2,50,battery_capacity_fade_ratio,4.9553800053448544e-05,0.9999504461999466,True
MASAC,E2,50,battery_charge_total,345132.82154580933,,
MASAC,E2,50,battery_discharge_total,292814.6935327461,,
MASAC,E2,50,battery_equivalent_full_cycles,12.143979195129742,,
MASAC,E2,50,battery_throughput_total,637947.5150785556,,
MASAC,E2,50,carbon_emissions,1.051639591972696,-0.051639591972695964,False
MASAC,E2,50,carbon_emissions_baseline,9088297.682261093,,
MASAC,E2,50,carbon_emissions_control,9243171.298157984,,
MASAC,E2,50,carbon_emissions_daily_average_baseline,24902.288431814846,,
MASAC,E2,50,carbon_emissions_daily_average_control,25326.64815113502,,
MASAC,E2,50,carbon_emissions_daily_average_delta,424.35971932017395,-424.35971932017395,False
MASAC,E2,50,carbon_emissions_delta,77648.98780810599,-77648.98780810599,False
MASAC,E2,50,community_import_share,0.08180134800760319,,
MASAC,E2,50,community_local_traded_daily_average,2502.1749435810157,,
MASAC,E2,50,community_local_traded_total,913189.5971177549,,
MASAC,E2,50,cost_one_minus_load_factor_average,0.9788572813323027,0.021142718667697347,True
