agent,algorithm,battery_throughput_total_kwh,building_id,carbon_emissions_delta_kgco2,electricity_cost_delta_eur,ev_charge_total_kwh,ev_departure_count,ev_departure_success_rate,ev_total,flex_composite_proxy,grid_export_max,grid_import_max,grid_role_control,nombre,objective,pv_self_consumption_ratio,run_id,scenario,tipo_uso
Building_12,MASAC,129739.67899751663,12,30895.56613867986,6876.913280371577,489.7182060331106,960.0,0.05520833333333333,3,458.3561933083469,316.3134765625,1057.9130859375,net_exporter,SEGURO SOCIAL DE SALUD - ESSALUD,OE3_costo,0.15798257495920956,madrl_v3_20260627_164047,E3,Healthcare
Building_13,MASAC,7106.780278333796,13,2453.9150040369204,323.7646423686456,465.1815653666854,2018.0,0.048562933597621406,11,23.70246052373057,0.0,70.14910888671875,net_exporter,UNAP-FACULTAD DE CIENCIAS AD..CONTABLES Y ECO,OE3_costo,0.041727315527042175,madrl_v3_20260627_164047,E3,Education
Building_14,MASAC,4816.499125994071,14,1784.680847986454,-845.4150263144693,614.2507697343826,1192.0,0.016778523489932886,4,16.241625153547602,0.0,47.72725296020508,net_exporter,AUTORIDAD PORTUARIA NACIONAL,OE3_costo,0.0023774995622720257,madrl_v3_20260627_164047,E3,Industrial_Port
Building_15,MASAC,9057.70363283508,15,2563.499905439472,-286.5330013486673,404.59967879951,1535.0,0.04820846905537459,8,7.190722291615331,0.0,20.5941162109375,net_exporter,DREL- COLEGIO NACIONAL DE IQUITOS,OE3_costo,0.021949336091505067,madrl_v3_20260627_164047,E3,Education
Building_16,MASAC,41993.147184845075,16,11789.351006293524,2089.146697272139,541.9551022872329,2133.0,0.0543834974214721,11,45.69675426035187,33.03385925292969,103.13050842285156,net_exporter,SIMA - IQUITOS S.R.LTDA,OE3_costo,0.07410489472565084,madrl_v3_20260627_164047,E3,Industrial
Building_17,MASAC,19693.391360967536,17,5790.491945133312,780.4171880511421,619.0684324130416,2112.0,0.06202651515151515,11,8.366226423933888,0.0,24.34459686279297,net_exporter,ASOCIACION CIVIL SELVA AMAZONICA,OE3_costo,0.24591759099130397,madrl_v3_20260627_164047,E3,Laboratory
Building_1,MATD3,1895.5012817382812,1,4169.593465026002,4480.25976029411,8879.937245206907,924.0,0.7402597402597403,4,502.73604394064637,703.340087890625,804.3753662109375,net_importer,ELECTRO ORIENTE S.A.,OE1_flexibilidad,0.5073222796234286,madrl_v3_20260627_164047,E1,Office
Building_2,MATD3,129.90314421200696,2,110.35405565200199,-132.44582715462002,2178.2845485229045,542.0,0.34317343173431736,6,14.241668917910877,3.050830602645874,38.69163513183594,net_exporter,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,OE1_flexibilidad,0.017458980749183825,madrl_v3_20260627_164047,E1,Office
Building_3,MATD3,664.1392211914062,3,9096.473491992569,8616.46970715234,16704.372256189585,2505.0,0.7652694610778443,8,170.37601948181262,0.0,510.3820495605469,net_exporter,AEROPUERTO INTERNACIONAL,OE1_flexibilidad,0.2539911151089658,madrl_v3_20260627_164047,E1,Assembly
Building_4,MATD3,129.38999938964844,4,-360.5190547941602,-458.7606200844748,1720.4128919318318,1426.0,0.3246844319775596,6,54.15838000914142,0.0,162.28848266601562,net_importer,HIPERMERCADOS TOTTUS ORIENTE SAC,OE1_flexibilidad,0.8133426385913657,madrl_v3_20260627_164047,E1,Retail
Building_5,MATD3,66.69000244140625,5,-553.1820692244219,-366.30828433218994,1120.1211027093232,746.0,0.34316353887399464,3,20.203833707934436,0.0,60.26204299926758,net_importer,HOTEL PLAZA S.A.,OE1_flexibilidad,0.6505418754642716,madrl_v3_20260627_164047,E1,MultiFamily_Hotel
Building_6,MATD3,1353.4387013494215,6,10651.98459522659,8392.78836319549,26183.063033197075,7949.0,0.3823122405334004,32,121.01166017271447,0.0,362.8901062011719,net_importer,MALL AVENTURA S.A.,OE1_flexibilidad,0.8551256830284591,madrl_v3_20260627_164047,E1,Commercial_Mall
