algorithm,cost_function,level,name,scenario,value
HAPPO,building_energy_grid_total_import_control_kwh,building,Building_12,E1,1471762.7466902733
HAPPO,building_energy_grid_total_import_delta_kwh,building,Building_12,E1,228107.2153801918
HAPPO,building_energy_grid_total_net_exchange_baseline_kwh,building,Building_12,E1,-2488229.982808113
HAPPO,building_energy_grid_total_net_exchange_control_kwh,building,Building_12,E1,-2367042.2754735947
HAPPO,building_energy_grid_total_net_exchange_delta_kwh,building,Building_12,E1,121187.70733451843
HAPPO,building_equity_benefit_relative_percent,building,Building_12,E1,4.264487453780421
HAPPO,building_ev_events_departure_count,building,Building_12,E1,960.0
HAPPO,building_ev_events_departure_met_count,building,Building_12,E1,556.0
HAPPO,building_ev_events_departure_within_tolerance_count,building,Building_12,E1,74.0
HAPPO,building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_12,E1,0.17104146076335267
HAPPO,building_ev_performance_departure_success_ratio,building,Building_12,E1,0.5791666666666667
HAPPO,building_ev_performance_departure_within_tolerance_ratio,building,Building_12,E1,0.07708333333333334
HAPPO,building_ev_total_charge_kwh,building,Building_12,E1,9377.641594192013
HAPPO,building_ev_total_v2g_export_kwh,building,Building_12,E1,2659.3727416282345
HAPPO,building_solar_self_consumption_daily_average_export_kwh,building,Building_12,E1,8998.212112877283
HAPPO,building_solar_self_consumption_daily_average_generation_kwh,building,Building_12,E1,12113.474015475871
HAPPO,building_solar_self_consumption_ratio_self_consumption_ratio,building,Building_12,E1,0.25717328477516904
HAPPO,building_solar_self_consumption_total_export_kwh,building,Building_12,E1,3283972.4956955053
HAPPO,building_solar_self_consumption_total_generation_kwh,building,Building_12,E1,4420913.287564714
HAPPO,building_battery_health_capacity_fade_ratio,building,Building_13,E1,7.104060409195553e-05
HAPPO,building_battery_health_equivalent_full_cycles_count,building,Building_13,E1,21.413341089663234
HAPPO,building_battery_total_charge_kwh,building,Building_13,E1,6173.606497108936
HAPPO,building_battery_total_discharge_kwh,building,Building_13,E1,5475.251055667863
HAPPO,building_battery_total_throughput_kwh,building,Building_13,E1,11648.857552776799
HAPPO,building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_13,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_13,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_13,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_ratio,building,Building_13,E1,nan
HAPPO,building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_13,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_13,E1,0.0
