rank,algorithm,scenario,oe,metric,higher_is_better,building_id,agent,nombre,tipo_uso,value,import_ratio_to_baseline,co2_reduction_kgco2,cost_reduction_eur,battery_throughput_kwh,ev_charge_kwh,ev_departure_success_ratio,grid_role_control
2,MATD3,E3,OE.3,cost_reduction_eur,True,5,Building_5,HOTEL PLAZA S.A.,MultiFamily_Hotel,480.57576279580826,0.9972719723542167,824.7591667941888,480.57576279580826,66.69000244140625,781.1923982072622,0.32171581769436997,net_importer
3,MATD3,E3,OE.3,cost_reduction_eur,True,2,Building_2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,Office,170.44407857847568,1.0029268524840307,-113.01437550113769,170.44407857847568,129.90314421200696,566.6829447690398,0.33025830258302585,net_exporter
4,MATD3,E3,OE.3,cost_reduction_eur,True,4,Building_4,HIPERMERCADOS TOTTUS ORIENTE SAC,Retail,-363.94980360381305,1.0015345955718036,-631.4797802955727,-363.94980360381305,243.13324140524026,3481.636465843767,0.6584852734922861,net_importer
5,MATD3,E3,OE.3,cost_reduction_eur,True,9,Building_9,GOBIERNO REGIONAL DE LORETO - COER,Office_Critical,-1023.4906623259712,1.0485608207495885,-1068.0396748888343,-1023.4906623259712,38.87544536590576,6939.37315453589,0.37087168381158636,net_exporter
6,MATD3,E3,OE.3,cost_reduction_eur,True,10,Building_10,GOBIERNO REGIONAL DE LORETO,Office,-2925.505332276516,1.0081883912838974,-3207.7750012048637,-2925.505332276516,1253.8736981519314,8684.561257060617,0.4899845916795069,net_exporter
7,MATD3,E3,OE.3,cost_reduction_eur,True,1,Building_1,ELECTRO ORIENTE S.A.,Office,-4843.0938886310905,1.0013596660427362,-3888.0077229202725,-4843.0938886310905,1895.5012817382812,8462.970232633874,0.5173160173160173,net_importer
8,MATD3,E3,OE.3,cost_reduction_eur,True,6,Building_6,MALL AVENTURA S.A.,Commercial_Mall,-5237.497457646299,1.0014577471991088,-5656.399538822938,-5237.497457646299,724.1849975585938,20703.477795336396,0.46559315637187065,net_importer
9,MATD3,E3,OE.3,cost_reduction_eur,True,15,Building_15,DREL- COLEGIO NACIONAL DE IQUITOS,Education,-5319.336686961971,1.0707387452336694,-4728.621304856904,-5319.336686961971,140.2913589477539,7047.5271396152675,0.38045602605863194,net_exporter
10,MATD3,E3,OE.3,cost_reduction_eur,True,8,Building_8,PNP- ESCUELA TECNICA SUPERIOR-IQUITOS,Assembly_Military,-5679.101768598106,1.0850897830506463,-5312.571718088817,-5679.101768598106,169.09834671020508,12952.008410556242,0.46484165324745036,net_exporter
11,MATD3,E3,OE.3,cost_reduction_eur,True,14,Building_14,AUTORIDAD PORTUARIA NACIONAL,Industrial_Port,-6942.329148787183,1.4314450504037264,-6924.560233738037,-6942.329148787183,64.33050727844238,11801.238536376506,0.7290268456375839,net_exporter
