algorithm,scenario,agent,electricity_cost_delta_eur,electricity_cost_control_eur,electricity_cost_baseline_eur,carbon_emissions_delta_kgco2,grid_import_delta_kwh,ev_charge_total_kwh,source_file
MASAC,E2,Building_16,1916.198482380132,150924.63436805556,149008.43588567543,12272.788314087637,15816.23204791546,566.5349094495177,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E2,Building_17,1177.486600960241,93654.73925328389,92477.25265232364,5828.101555668545,7469.984835386276,668.2171229198575,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E3,Building_1,21075.457346742507,2309024.1284914617,2287948.6711447192,47559.86011810042,61472.991543293,526.066355317831,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_2,-475.1948369122165,-7334.879216665656,-6859.684379753439,1550.4540475770557,1972.0509781390429,19.553312346339226,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_3,2658.67516468995,273370.59566763806,270711.9205029481,13733.034024620836,17736.48192501068,664.0665654689074,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_4,1202.4989101405954,364458.9526440575,363256.4537339169,5657.326953114767,7359.034537613392,164.3461953997612,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_5,-548.8908552461944,228153.9431257788,228702.833981025,1766.0247493816423,2241.708606362343,263.34219912439585,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_6,4215.30054851016,2358499.5674444875,2354284.2668959773,15776.995322135745,20441.73180770874,1565.3273174762726,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_7,2335.419059779208,27951.3964972027,25615.97743742349,9440.118407846414,12231.836192667484,2250.6497852131724,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_8,-899.2025018301028,-30367.27370058075,-29468.071198750647,3807.256873524741,4926.815396040678,1618.9154314547775,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_9,-406.6764292217995,5276.894207810539,5683.570637032339,1073.4499079255802,1375.3567759990692,255.94585466384888,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_10,3686.173872834712,352325.4242959231,348639.2504230884,18575.083964535734,24044.24880218506,608.2588432431221,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_11,-2304.438581703289,212920.3285648933,215224.7671465966,7085.636688141676,8960.169164657593,493.87172162532806,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_12,6876.913280371577,763022.0064729782,756145.0931926066,30895.56613867986,39876.306597709656,489.7182060331106,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_13,323.7646423686456,11290.0362981925,10966.271655823854,2453.9150040369204,3155.491923265159,465.1815653666854,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_14,-845.4150263144693,-43786.56971841068,-42941.15469209621,1784.680847986454,2300.1700593829155,614.2507697343826,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_15,-286.5330013486673,28005.932667560475,28292.465668909143,2563.499905439472,3298.6803572177887,404.59967879951,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_16,2089.146697272139,182476.33541980016,180387.188722528,11789.351006293524,15188.34727847576,541.9551022872329,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MASAC,E3,Building_17,780.4171880511421,110271.87033185948,109491.45314380834,5790.491945133312,7416.339179515839,619.0684324130416,outputs/_drive_madrl/full_data/MASAC/E3/data/building_behavior_summary.csv
MATD3,E1,Building_1,4480.25976029411,2383712.2633343395,2379232.0035740454,4169.593465026002,5733.51834654808,8879.937245206907,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_2,-132.44582715462002,4854.367047991285,4986.812875145905,110.354055652002,140.440132021904,2178.2845485229045,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_3,8616.46970715234,457756.90334187256,449140.4336347202,9096.473491992569,12186.894711256027,16704.372256189585,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_4,-458.7606200844748,328347.9946281649,328806.7552482494,-360.5190547941602,-496.600346326828,1720.4128919318318,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_5,-366.30828433218994,232302.5861710505,232668.8944553827,-553.1820692244219,-700.5307915955782,1120.1211027093232,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_6,8392.78836319549,3205892.0903999195,3197499.302036724,10651.98459522659,14630.436559081078,26183.063033197075,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_7,12638.630894491756,55761.85069799809,43123.219803506334,12547.892022004176,16934.358348578215,20586.2127130609,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_8,4985.046019970978,-17929.47475987752,-22914.5207798485,5611.882300971294,7533.289465799928,13011.789591550829,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_9,651.5491709332837,3103.1846582570583,2451.6354873237747,834.2206596290125,1059.1128628253937,6583.751294627786,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_10,12586.203459868671,338562.6527477993,325976.4492879307,12713.468743677484,17250.337276875973,21137.037186317142,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_11,-1824.6310089519247,188424.28671424487,190248.91772319685,-801.056876752351,-996.6218835115432,1455.1087969951332,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_12,-2322.773223772878,758802.9319932023,761125.7052169752,-2152.5859613089124,-2781.021255493164,0.0,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_13,7017.086505566538,16084.79090121176,9067.704395645222,7053.849181353879,9505.64776671119,10374.461107077075,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_14,-3532.4155618258374,-59452.01630735555,-55919.60074552972,-2070.5784961438258,-2680.4348767995834,0.0,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_15,717.1645468654569,27867.948533875584,27150.783987010127,1060.0689967864164,1391.9323391020298,2785.137937311083,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_16,6445.151627770596,217385.6382581459,210940.4866303753,6707.384412607236,8989.826051980257,9723.487419864165,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E1,Building_17,8075.305863098925,108387.87047539584,100312.5646122969,8626.72504574852,11422.868633925917,11569.55326846242,outputs/_drive_madrl/full_data/MATD3/E1/data/building_behavior_summary.csv
MATD3,E2,Building_1,4618.862719768193,2083098.2791571796,2078479.4164374112,6951.535140919033,9193.31614485383,7693.142107978463,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
MATD3,E2,Building_2,-133.3569866283051,1940.6168985392144,2073.9738851675197,102.6227556636295,129.90219736099243,354.17428172007203,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
