algorithm,scenario,agent,grid_role_control,action_dim,observation_dim,battery_throughput_total_kwh,ev_charge_total_kwh,ev_departure_success_rate,carbon_emissions_control_kgco2,carbon_emissions_delta_kgco2,electricity_cost_control_eur,electricity_cost_delta_eur,grid_import_control_kwh,grid_export_control_kwh
MAAC,E1,Building_13,net_exporter,13,110,4388.299544389407,648.8648328781128,0.0609514370664023,20624.8652314432,1387.7666340559226,6626.280191831145,202.177036113153,27387.687321659178,643248.0518193766
MAAC,E1,Building_14,net_exporter,6,61,5566.884461576003,419.147693157196,0.0083892617449664,15226.192416094244,1519.7487320994787,-46895.284952825765,-246.19107240995072,19769.57626694441,4324942.006911039
MAAC,E1,Building_15,net_exporter,10,89,4106.881103097337,434.0081139877439,0.0534201954397394,68363.02992613707,1243.496142786622,14199.08051599571,-72.63421237049988,89133.51894630119,2386931.066137165
MAAC,E1,Building_16,net_exporter,13,110,16782.73060612582,530.5765521973372,0.0478199718706047,249503.71744098887,3953.853207007138,128012.70146111776,414.5817762081279,324073.0912890434,2367021.445671245
MAAC,E1,Building_17,net_exporter,13,110,17451.537687945704,716.4884076043963,0.065340909090909,147519.86938032508,4903.786296434322,85469.2388749598,1171.6009859154435,191793.62127012011,301809.2888575196
MAAC,E2,Building_1,net_importer,6,61,124356.91614533402,584.6912280917168,0.0422077922077922,2902091.584301889,23634.60108895274,1981819.375861585,7260.802849741653,3766556.3418667912,1776396.2006819248
MAAC,E2,Building_2,net_exporter,8,75,3220.078354600206,59.778337717056274,0.0166051660516605,31777.54978455789,714.7335240736975,-6227.84343961018,-399.7144504451717,41423.5465146089,1952840.4445409772
MAAC,E2,Building_3,net_exporter,10,89,54136.836383399816,610.9675801545382,0.0215568862275449,269289.98401223123,14635.871883378742,164055.46042970577,1802.1081817082888,349208.4785990864,1308670.3836075068
MAAC,E2,Building_4,net_importer,8,75,22259.991337359123,219.30346320569515,0.0231416549789621,429165.0972254351,6411.428929588234,287068.28736706986,1991.5849292417988,568162.9807930142,115772.8322165236
MAAC,E2,Building_5,net_importer,5,54,7275.652964822283,177.98002815246582,0.0388739946380697,295508.4906921573,1035.809021146095,200442.0207280897,-595.6810479151609,384509.14111574,92318.74166434444
MAAC,E2,Building_6,net_importer,34,257,101200.92304985075,1136.7062156945467,0.0220153478424959,4092343.0555544496,18405.23022689065,2768911.2450705976,6252.776270689443,5387529.385622859,698676.0777812004
MAAC,E2,Building_7,net_exporter,44,327,20060.975776606934,2057.907931178808,0.0571538659131775,77604.43241656572,6796.218203967379,27805.669090741143,1930.147134282124,102345.11418500544,1917374.5763757376
MAAC,E2,Building_8,net_exporter,19,152,16789.177427282615,1377.5827544033527,0.0585077831454643,41187.69081782177,5648.202803503467,-48092.60643132034,594.7012225314829,54160.25675180554,4961443.957596362
MAAC,E2,Building_9,net_exporter,12,103,2921.2579951538937,207.2546579837799,0.0243638332430969,20293.84703862667,791.37656366191,-1399.2421057326708,-182.43987174571816,26387.208748698235,1082478.4775603674
MAAC,E2,Building_10,net_exporter,8,75,54413.541413575,794.2589787244797,0.0146379044684129,463409.70100700855,15132.954615966242,290201.88871457166,3097.7296573023777,615043.0125207901,2969854.596979618
MAAC,E2,Building_11,net_exporter,5,54,53369.52990833422,493.38030640780926,0.0600203458799593,380682.6481084824,13060.239328606694,117990.5144497458,601.9963592307904,493143.0571231842,10269815.338967323
MAAC,E2,Building_12,net_exporter,5,54,72531.330821329,484.6437773704529,0.0510416666666666,1047927.11668396,15427.895990195337,679814.2868790064,3331.873266436276,1359313.9256296158,3750538.871099323
MAAC,E2,Building_13,net_exporter,13,110,5928.510651138217,613.5159951746464,0.0525272547076313,21024.89980855584,1762.0891934498322,5821.368535624274,227.94082114890352,27921.935877736654,643698.2308598086
MAAC,E2,Building_14,net_exporter,6,61,5856.427517282398,438.5593731403351,0.0109060402684563,15173.659336023033,1509.583317264358,-54846.16802541064,-701.8555300273947,19709.24753838777,4325011.73881948
MAAC,E2,Building_15,net_exporter,10,89,7316.52908147002,457.3426399976015,0.0553745928338762,69229.92191257235,2120.0514549081563,14531.258261869178,-222.2380285324598,90265.85556470044,2387718.577665657
MAAC,E2,Building_16,net_exporter,13,110,32946.92690137308,553.1733643338084,0.0511017346460384,253468.50387310985,7900.489557624067,142844.11950401618,405.5336355024774,329101.85147213936,2370776.4980820864
MAAC,E2,Building_17,net_exporter,13,110,19528.43563019194,700.5233999043703,0.0629734848484848,148575.8369024694,5935.47329951881,97146.82730412592,1082.8433108846366,193141.2817835212,303014.15811640024
MAAC,E3,Building_1,net_importer,6,61,130098.52647094509,591.3479960858822,0.0411255411255411,2908274.421959847,29812.229984278325,2066990.2720087063,8866.628043056466,3774303.4863732457,1785479.887718439
MAAC,E3,Building_2,net_exporter,8,75,2754.978901208145,56.477458238601685,0.014760147601476,31681.872169711627,603.1786635218414,-5776.099611743203,-513.2504941530733,41299.21586214099,1952722.654808402
MAAC,E3,Building_3,net_exporter,10,89,54778.89009986388,590.641118362546,0.0235528942115768,267896.8746725172,13215.04591323962,170981.62474747366,-381.014294727298,347501.2404780537,1307416.6425625086
MAAC,E3,Building_4,net_importer,8,75,22216.913278694454,241.18782672286036,0.0231416549789621,429261.31367815286,6515.768822942278,313402.43264939456,1898.7107700188644,568309.0535490662,115912.76712157576
MAAC,E3,Building_5,net_importer,5,54,8164.721340929039,207.0528998374939,0.0469168900804289,295537.08028240874,1249.1888576007914,212000.71335693327,-610.0458629335917,384543.9232466966,92484.16185587086
MAAC,E3,Building_6,net_importer,34,257,75977.28336932848,1107.8495190888643,0.0213863379041388,4088079.110075057,14103.742794324178,2976644.8138627443,2656.096125725191,5382007.359549403,694740.6124805212
MAAC,E3,Building_7,net_exporter,44,327,20074.642790665108,2052.0858311653137,0.0557410737220652,77871.27638221532,7009.741869637772,34422.466161974306,2026.5497062121904,102695.09638610482,1917657.1106746343
MAAC,E3,Building_8,net_exporter,19,152,11309.23204837134,1399.328696325421,0.0577026301663982,39058.09140432067,3557.6176695554896,-48327.046797674426,-287.3682754620677,51396.748592691496,4958952.786726713
MAAC,E3,Building_9,net_exporter,12,103,2942.7457475835126,204.2424762248993,0.0227395776935571,20309.55212366581,806.4968048009468,-959.6517692363368,-201.60605605898104,26409.619767546654,1082507.8110788723
MAAC,E3,Building_10,net_exporter,8,75,70642.63548244536,787.9993848204613,0.0177195685670261,467317.28972685337,19050.81376015028,336564.77855436783,3921.404957762105,619949.3822302818,2974567.477250576
MAAC,E3,Building_11,net_exporter,5,54,49944.71445365295,501.0157934874296,0.0630722278738555,379351.4620437622,11815.308858978851,124082.24380281311,-544.9652378683968,491454.9619503021,10268511.51718235
MAAC,E3,Building_12,net_exporter,5,54,91235.08225816,472.4245455265045,0.046875,1051293.3259506226,18771.349817235256,709154.2007808335,1674.530742320465,1363486.8110208511,3752794.175205559
MAAC,E3,Building_13,net_exporter,13,110,4431.238513265803,567.6567199528217,0.0510406342913776,20658.329223304987,1401.3494720202252,7822.397315817738,96.1562908754786,27421.871738553047,643325.6001215503
MAAC,E3,Building_14,net_exporter,6,61,6435.289774752659,450.7670795917511,0.0100671140939597,15399.832099728286,1706.921019867685,-56674.58788684961,-683.7813220831522,20003.93865150213,4325213.248322368
