available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value,family,method,run_dir,table_path,normalized_score
True,OE3,Costos energeticos,1.0,0.1170323615944113,False,cost_peak_average,True,citylearn_v2.evaluate_v2,1.117032361594411,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0\figures\tables\objective_kpis.csv,0.31518241969994504
True,OE3,Costos energeticos,1.0,0.0112345338045805,False,cost_peak_average,True,citylearn_v2.evaluate_v2,1.0112345338045805,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE3,Costos energeticos,1.0,0.1194173043816144,False,cost_ramping_average,True,citylearn_v2.evaluate_v2,1.1194173043816145,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE3,Costos energeticos,1.0,0.0226132440943358,False,cost_ramping_average,True,citylearn_v2.evaluate_v2,1.0226132440943358,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0\figures\tables\objective_kpis.csv,0.8165030769935453
True,OE3,Costos energeticos,1.0,0.0193834691722289,False,cost_ramping_average,True,citylearn_v2.evaluate_v2,1.019383469172229,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0\figures\tables\objective_kpis.csv,0.8437449215408797
True,OE3,Costos energeticos,1.0,0.0008579712757039,False,cost_ramping_average,True,citylearn_v2.evaluate_v2,1.000857971275704,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE3,Costos energeticos,1.0,0.0436246228049002,False,electricity_cost,True,citylearn_v2.evaluate_v2,1.0436246228049002,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE3,Costos energeticos,1.0,0.0050396407601671,False,electricity_cost,True,citylearn_v2.evaluate_v2,1.0050396407601672,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0\figures\tables\objective_kpis.csv,0.9566082436485119
True,OE3,Costos energeticos,1.0,0.0032894257156825,False,electricity_cost,True,citylearn_v2.evaluate_v2,1.0032894257156826,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE3,Costos energeticos,1.0,0.009200981675477,False,electricity_cost,True,citylearn_v2.evaluate_v2,1.009200981675477,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0\figures\tables\objective_kpis.csv,0.8534392692635511
