algorithm,scenario,axis,kpi,value,baseline,delta_vs_baseline,improved_vs_baseline,lower_is_better,available,source,run_path
MAAC,E2,OE1,grid_export_ratio,0.999947120273432,1.0,-5.287972656808915e-05,True,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,grid_import,1.046308935568358,1.0,0.0463089355683579,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,grid_import_baseline,12472232.392642977,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,grid_import_control,12521956.960466396,12472232.392642977,49724.56782342121,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,grid_import_delta,24930.40753471335,0.0,24930.40753471335,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,net_exchange_baseline,-27170297.93489456,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,net_exchange_control,-27118477.08090696,-27170297.93489456,51820.85398760438,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,net_exchange_delta,25981.422569535865,0.0,25981.422569535865,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,one_minus_load_factor_average,0.9926963312773214,1.0,-0.0073036687226786,True,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,peak_average,1.0402106617728162,1.0,0.0402106617728161,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,pv_export_daily_average,111741.57932902654,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,pv_export_total,40781020.555955976,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,pv_generation_daily_average,136095.6394630498,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,pv_generation_total,49669237.75236888,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,pv_self_consumption_ratio,0.1789481296396378,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
