algorithm,scenario,metric,value
MASAC,escenario_3,ev_departure_success_rate,0.042588579204677186
MASAC,escenario_3,ev_departure_within_tolerance_count,540.0
MASAC,escenario_3,ev_departure_within_tolerance_rate,0.01360818507131697
MASAC,escenario_3,ev_v2g_export_total,3376.6444974486367
MASAC,escenario_3,grid_export_baseline,39346257.59938049
MASAC,escenario_3,grid_export_control,39333545.88824421
MASAC,escenario_3,grid_export_delta,-6373.270859114073
MASAC,escenario_3,grid_export_ratio,0.9996769270596022
MASAC,escenario_3,grid_import,1.0374132598116854
MASAC,escenario_3,grid_import_baseline,13134273.334926605
MASAC,escenario_3,grid_import_control,13179596.591932142
MASAC,escenario_3,grid_import_delta,22723.72224452739
MASAC,escenario_3,net_exchange_baseline,-26211984.264453888
MASAC,escenario_3,net_exchange_control,-26153949.296312064
MASAC,escenario_3,net_exchange_delta,29096.993103644265
MASAC,escenario_3,one_minus_load_factor_average,0.9819840172895822
MASAC,escenario_3,peak_average,1.1170323615944113
MASAC,escenario_3,price_signal_deviation,0.35329494651478244
MASAC,escenario_3,price_signal_deviation_baseline,0.35656490968401827
MASAC,escenario_3,price_signal_deviation_delta,-0.0032699631692358344
MASAC,escenario_3,price_signal_deviation_ratio,0.9908292625538121
MASAC,escenario_3,pv_export_daily_average,110900.08183743121
MASAC,escenario_3,pv_export_total,40473909.03391916
MASAC,escenario_3,pv_generation_daily_average,135731.8379158463
MASAC,escenario_3,pv_generation_total,49536465.346037395
MASAC,escenario_3,pv_self_consumption_ratio,0.18294717333608018
MASAC,escenario_3,ramping_average,1.019383469172229
MASAC,escenario_3,zero_net_energy,0.9989654560201449
MATD3,escenario_1,battery_capacity_fade_ratio,1.2070930553512217e-06
MATD3,escenario_1,battery_charge_total,16421.966020733827
MATD3,escenario_1,battery_discharge_total,12689.348239371415
MATD3,escenario_1,battery_equivalent_full_cycles,0.5541634481859674
MATD3,escenario_1,battery_throughput_total,29111.31426010524
MATD3,escenario_1,carbon_emissions,1.0910188027968435
MATD3,escenario_1,carbon_emissions_baseline,9120762.057971071
MATD3,escenario_1,carbon_emissions_control,9206143.30488935
MATD3,escenario_1,carbon_emissions_daily_average_baseline,24991.242081436892
MATD3,escenario_1,carbon_emissions_daily_average_control,25225.190012255327
MATD3,escenario_1,carbon_emissions_daily_average_delta,233.9479308184345
MATD3,escenario_1,carbon_emissions_delta,42807.59742454813
MATD3,escenario_1,community_import_share,0.06931453984842184
MATD3,escenario_1,community_local_traded_daily_average,2137.200706842457
MATD3,escenario_1,community_local_traded_total,779989.2079680449
MATD3,escenario_1,cost_one_minus_load_factor_average,0.9903363596387342
MATD3,escenario_1,cost_peak_average,1.0135082765308394
MATD3,escenario_1,cost_ramping_average,1.0012947256358695
MATD3,escenario_1,electricity_cost,1.0109365831485904
MATD3,escenario_1,electricity_cost_baseline,5937325.040501275
MATD3,escenario_1,electricity_cost_control,6002259.089486925
MATD3,escenario_1,electricity_cost_daily_average_baseline,16268.50108140548
MATD3,escenario_1,electricity_cost_daily_average_control,16446.422896185206
MATD3,escenario_1,electricity_cost_daily_average_delta,177.92181477972326
MATD3,escenario_1,electricity_cost_delta,32555.985400214777
MATD3,escenario_1,ev_charge_total,169753.2591299247
MATD3,escenario_1,ev_departure_count,39682.0
MATD3,escenario_1,ev_departure_met_count,19313.0
MATD3,escenario_1,ev_departure_soc_deficit_mean,0.28689426569988463
MATD3,escenario_1,ev_departure_success_rate,0.48669421904137894
MATD3,escenario_1,ev_departure_within_tolerance_count,760.0
MATD3,escenario_1,ev_departure_within_tolerance_rate,0.0191522604707424
MATD3,escenario_1,ev_v2g_export_total,26651.092337596812
MATD3,escenario_1,grid_export_baseline,40660865.55792618
MATD3,escenario_1,grid_export_control,40618004.79714544
MATD3,escenario_1,grid_export_delta,-21489.10046450573
MATD3,escenario_1,grid_export_ratio,0.9989458964979563
MATD3,escenario_1,grid_import,1.0927459401688624
MATD3,escenario_1,grid_import_baseline,11148920.210262299
MATD3,escenario_1,grid_import_control,11252894.553923866
MATD3,escenario_1,grid_import_delta,52129.61869959725
MATD3,escenario_1,net_exchange_baseline,-29511945.34766388
MATD3,escenario_1,net_exchange_control,-29365110.24322157
MATD3,escenario_1,net_exchange_delta,73618.71916410579
MATD3,escenario_1,one_minus_load_factor_average,0.9903363596387342
MATD3,escenario_1,peak_average,1.0135082765308394
MATD3,escenario_1,price_signal_deviation,0.38583282380053824
MATD3,escenario_1,price_signal_deviation_baseline,0.3835628436620554
MATD3,escenario_1,price_signal_deviation_delta,0.002269980138482841
MATD3,escenario_1,price_signal_deviation_ratio,1.0059181439912435
MATD3,escenario_1,pv_export_daily_average,113417.74425477868
MATD3,escenario_1,pv_export_total,41392750.91365027
MATD3,escenario_1,pv_generation_daily_average,135736.12476592427
MATD3,escenario_1,pv_generation_total,49538029.867697105
MATD3,escenario_1,pv_self_consumption_ratio,0.16442476569618755
MATD3,escenario_1,ramping_average,1.0012947256358695
MATD3,escenario_1,zero_net_energy,0.9947376593298868
MATD3,escenario_2,battery_capacity_fade_ratio,8.011053678679772e-07
MATD3,escenario_2,battery_charge_total,6473.014259601426
MATD3,escenario_2,battery_discharge_total,4088.46691936412
MATD3,escenario_2,battery_equivalent_full_cycles,0.2010485262119384
MATD3,escenario_2,battery_throughput_total,10561.481178965547
MATD3,escenario_2,carbon_emissions,1.074489406306728
MATD3,escenario_2,carbon_emissions_baseline,9115228.281413369
MATD3,escenario_2,carbon_emissions_control,9224017.200870441
MATD3,escenario_2,carbon_emissions_daily_average_baseline,24976.079318862983
MATD3,escenario_2,carbon_emissions_daily_average_control,25274.165181058408
MATD3,escenario_2,carbon_emissions_daily_average_delta,298.08586219542616
MATD3,escenario_2,carbon_emissions_delta,54543.50265963391
MATD3,escenario_2,community_import_share,0.06895604510325233
MATD3,escenario_2,community_local_traded_daily_average,2131.2051426560247
MATD3,escenario_2,community_local_traded_total,777801.0768551717
MATD3,escenario_2,cost_one_minus_load_factor_average,0.9897631484203935
MATD3,escenario_2,cost_peak_average,1.0165753156311008
