available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value,output_profile,algorithm,scenario,seed,run_path
True,OE3,Costos energeticos,1.0,0.15196049424100466,False,cost_peak_average,True,citylearn_v2.evaluate_v2,1.1519604942410047,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE3,Costos energeticos,1.0,0.10566246977778238,False,cost_ramping_average,True,citylearn_v2.evaluate_v2,1.1056624697777824,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE3,Costos energeticos,1.0,0.043369735115007524,False,electricity_cost,True,citylearn_v2.evaluate_v2,1.0433697351150075,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE3,Costos energeticos,,,,electricity_cost_baseline,True,citylearn_v2.evaluate_v2,5957996.329614123,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE3,Costos energeticos,5957996.329614123,258396.72263155133,False,electricity_cost_control,True,citylearn_v2.evaluate_v2,6216393.052245675,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE3,Costos energeticos,,,,electricity_cost_daily_average_baseline,True,citylearn_v2.evaluate_v2,16325.141215976591,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE3,Costos energeticos,16325.141215976591,708.0170502519959,False,electricity_cost_daily_average_control,True,citylearn_v2.evaluate_v2,17033.158266228587,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE3,Costos energeticos,0.0,708.0170502519959,False,electricity_cost_daily_average_delta,True,citylearn_v2.evaluate_v2,708.0170502519959,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE3,Costos energeticos,0.0,129552.36984090167,False,electricity_cost_delta,True,citylearn_v2.evaluate_v2,129552.36984090167,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE3,Costos energeticos,0.37913521695102903,0.006670153871297879,False,price_signal_deviation,True,derived_from_citylearn_v2_timeseries,0.3858053708223269,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE1,Flexibilidad energetica,,,,battery_capacity_fade_ratio,True,citylearn_v2.evaluate_v2,0.0005402847001329172,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,battery_charge_total,False,citylearn_v2.evaluate_v2,5472726.657080317,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,battery_discharge_total,False,citylearn_v2.evaluate_v2,4646300.516930651,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,battery_equivalent_full_cycles,False,citylearn_v2.evaluate_v2,192.62596463129074,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,10119027.174010966,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,community_import_share,False,citylearn_v2.evaluate_v2,0.19879067106528983,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,community_local_traded_daily_average,False,citylearn_v2.evaluate_v2,7137.722274327017,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,community_local_traded_total,False,citylearn_v2.evaluate_v2,2604971.2250345973,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,ev_charge_total,False,citylearn_v2.evaluate_v2,104202.53703365661,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,ev_departure_count,True,citylearn_v2.evaluate_v2,39682.0,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,ev_departure_met_count,False,citylearn_v2.evaluate_v2,7855.0,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,ev_departure_soc_deficit_mean,True,citylearn_v2.evaluate_v2,0.34869073545537405,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,ev_departure_success_rate,False,citylearn_v2.evaluate_v2,0.19794869210221258,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,ev_departure_within_tolerance_count,False,citylearn_v2.evaluate_v2,2505.0,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,ev_departure_within_tolerance_rate,False,citylearn_v2.evaluate_v2,0.06312685852527594,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,ev_v2g_export_total,False,citylearn_v2.evaluate_v2,47093.06678666417,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,grid_export_baseline,True,citylearn_v2.evaluate_v2,39642153.75536919,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,39642153.75536919,-352758.04241972417,True,grid_export_control,True,citylearn_v2.evaluate_v2,39289395.71294946,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,0.0,-176862.30657451978,True,grid_export_delta,True,citylearn_v2.evaluate_v2,-176862.30657451978,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,1.0,-0.008898558958137959,True,grid_export_ratio,True,citylearn_v2.evaluate_v2,0.991101441041862,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,1.0,0.3989984761756187,False,grid_import,True,citylearn_v2.evaluate_v2,1.3989984761756187,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,grid_import_baseline,True,citylearn_v2.evaluate_v2,12573314.324249268,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,12573314.324249268,530777.5884896014,False,grid_import_control,True,citylearn_v2.evaluate_v2,13104091.912738869,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,0.0,266115.96984268574,False,grid_import_delta,True,citylearn_v2.evaluate_v2,266115.96984268574,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
True,OE1,Flexibilidad energetica,,,,net_exchange_baseline,True,citylearn_v2.evaluate_v2,-27068839.43111992,local_v4,HAPPO,E2,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E2_seed_0
